cleaned
mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,source,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
57285,17.5,0,19,0.6,775.0,1450,1,17280,INDIVIDUAL,1.0,189.0,3508,33,69,4,3.6,INDIVIDUAL,17,21.0,516.3,1.0,3.8,2.0,4.7,2.0,5.8,6.0,17.8,16,FALSE
25856,3.2,74,18,0.4461538461538460,2502.0,10,0,14,Binance,1.0,154.0,4241,51,94,0,4.4,INDIVIDUAL,7,70.0,37.9,6.0,11.9,46.0,43.6,1.0,0.2,0.0,0.0,36,FALSE
34950,3.7,164,78,0.4461538461538460,7384.0,17,7,21,Binance,1.0,0.0,3447,30,100,0,5,RENOUNCED,10,118.0,83.6,3.0,5.9,31.0,27.8,0.0,0.0,1.0,1.8,14,FALSE
17077,1.6,11,0,0.18181818181818200,260.0,29,0,22,Binance,0.0,188.0,4318,10,100,0,9.8,INDIVIDUAL,3,2.0,0.1,0.0,0.0,6.0,4.9,0.0,0.0,0.0,0.0,3,FALSE
15059,2.7,64,38,0.9130434782608700,0.0,31,42,4,Binance,2.0,113.0,5886,18,93,0,0,UNKNOWN,12,31.0,8.9,0.0,0.0,1.0,2.2,4.0,17.8,1.0,0.0,28,FALSE
13657,6.0,4,0,1.0,9844.0,5,0,1440,INDIVIDUAL,0.0,94.0,3286,15,94,0,89.8,INDIVIDUAL,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,TRUE
874493,43.7,,0,0.6821192052980130,13673.0,20,0,2880,INDIVIDUAL,1.0,188.0,7087,37,75,2,10,INDIVIDUAL,19,,,,,,,,,,,393,FALSE
11179,1.3,86,52,0.18181818181818200,228.0,41,11,22,Binance,1.0,158.0,3929,1,100,0,9.2,RENOUNCED,9,74.0,26.6,0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,4,FALSE
3298,1.3,11,0,0.3,1067.0,50,1,51,Coinbase,0.0,56.0,8402,20,100,5,16.8,INDIVIDUAL,3,13.0,6.7,0.0,0.0,5.0,8.1,0.0,0.0,0.0,0.0,7,TRUE
5655,0.9,91,70,0.18181818181818200,226.0,44,15,22,Binance,2.0,188.0,3574,1,100,0,6.9,RENOUNCED,10,69.0,27.3,0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,4,FALSE
14289,2.7,46,8,0.3,956.0,55,6,56,Coinbase,0.0,188.0,3203,22,96,5,18.9,INDIVIDUAL,5,45.0,25.2,0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,28,TRUE
29902,3.9,69,15,0.3,1202.0,58,9,59,Coinbase,0.0,94.0,9622,7,81,5,16.3,INDIVIDUAL,5,63.0,36.9,0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,21,FALSE
41628,4.1,174,82,0.4461538461538460,7152.0,20,10,24,Binance,1.0,226.0,3036,32,94,0,4.8,RENOUNCED,11,124.0,80.1,3.0,5.9,30.0,26.4,0.0,0.0,1.0,1.8,82,FALSE
1932,0.6,0,0,0.5492537313432840,115.0,30,0,23,INDIVIDUAL,0.0,471.0,6485,10,78,0,0,RENOUNCED,6,,,,,,,,,,,23,TRUE
175429,19.7,,68,0.6821192052980130,24316.0,23,3,2880,INDIVIDUAL,1.0,942.0,8021,35,75,2,10,INDIVIDUAL,22,212.0,264.0,1.0,0.3,52.0,9.1,16.0,9.9,4.0,3.6,4,FALSE
3685,1.3,10,2,0.8,1407.0,20,8,1,Binance,0.0,94.0,3030,23,97,0,6.2,RENOUNCED,10,10.0,1.6,0.0,0.0,4.0,8.7,0.0,0.0,0.0,0.0,30,FALSE
3732,1.4,25,4,1.0,664.0,17,10,3,Binance,0.0,66.0,6812,14,100,0,0,RENOUNCED,10,13.0,2.1,0.0,0.0,0.0,0.0,2.0,8.2,0.0,0.0,4,TRUE
172201,10.0,,57,0.7857142857142860,11334.0,18726,18726,18720,Binance,1.0,282.0,3034,17,100,4,5.2,RENOUNCED,39,221.0,46.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6,FALSE
125822,16.8,,278,0.6798679867986800,29996.0,15,54,2880,INDIVIDUAL,1.0,943.0,20131,19,90,2,3.7,RENOUNCED,25,259.0,464.5,1.0,0.3,25.0,3.6,4.0,1.3,6.0,5.4,195,FALSE
8417,3.0,28,2,0.6923076923076920,943.0,11,7,2,Binance,0.0,103.0,3624,63,75,5,4.9,RENOUNCED,10,26.0,7.4,0.0,0.0,10.0,15.8,6.0,10.0,0.0,0.0,12,FALSE
51284,4.6,488,332,0.4461538461538460,9909.0,34,24,1,Binance,1.0,188.0,7798,21,80,0,0,RENOUNCED,14,187.0,70.4,1.0,0.4,14.0,10.0,6.0,1.8,1.0,1.8,44,TRUE
14927,3.8,192,174,0.3333333333333330,12331.0,50,23,3,Binance,15.0,299.0,7013,21,91,5,9.1,RENOUNCED,35,88.0,47.7,1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,105,FALSE
16258,4.0,75,0,0.0,3710.0,32,9,1440,Binance,0.0,162.0,3775,27,83,10,24.7,UNKNOWN,8,45.0,21.3,0.0,0.0,2.0,2.0,11.0,10.3,0.0,0.0,29,FALSE
27762,3.4,541,387,0.4461538461538460,9911.0,48,38,1,Binance,1.0,377.0,20217,19,90,0,0,RENOUNCED,14,174.0,68.9,1.0,0.4,9.0,5.1,7.0,1.9,1.0,1.8,195,TRUE
132632,11.8,,161,0.21428571428571400,6244.0,24,20,3,Bybit,1.0,94.0,399303,11,100,5,6.2,RENOUNCED,12,176.0,100.1,0.0,0.0,9.0,11.2,5.0,7.7,1.0,0.8,30,FALSE
19446,4.3,33,0,0.8823529411764710,367.0,3,1,7,Binance,0.0,94.0,3385,12,84,0,9.2,INDIVIDUAL,5,29.0,280.0,0.0,0.0,20.0,0.4,16.0,0.0,3.0,5.3,38,FALSE
