mcap,liquidity,buy,sell,tax,scams,owner,worth,contract_age,pair_age,funding_time,source,holds,spoofed,snipers,fresh,whales,airdrops,amount,wallet,ape_score,safu_score,result,buy_tax,sell_tax,owner_type,owner_quant,holds_qty,holds_amt,eth_unit,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,wallet_id,safu_score_qty,printed
57285,17.5,0,19,4/3.6,0.6,0x3c2...1c  (17),775.0,1450,1,17280,INDIVIDUAL,21 (516.3 ETH),1 own 3.8%,2 own 4.7%,2 own 5.8%,6 own 17.8%,1.0,189.0,3508,33,69,-44.4136,4,3.6,INDIVIDUAL,17,21.0,516.3,ETH),1.0,3.8,2.0,4.7,2.0,5.8,6.0,17.8,0x82b...8A,16,False
25856,3.2,74,18,0/4.4,0.4461538461538462,0x748...20  (7),2502.0,10,0,14,Binance,70 (37.9 ETH),6 own 11.9%,46 own 43.6%,1 own 0.2%,0 own 0%,1.0,154.0,4241,51,94,-40.9256,0,4.4,INDIVIDUAL,7,70.0,37.9,ETH),6.0,11.9,46.0,43.6,1.0,0.2,0.0,0.0,0x310...60,36,False
34950,3.7,164,78,0/5,0.4461538461538462,RENOUNCED (10),7384.0,17,7,21,Binance,118 (83.6 ETH),3 own 5.9%,31 own 27.8%,0 own 0%,1 own 1.8%,1.0,0.0,3447,30,100,-30.6681,0,5,RENOUNCED,10,118.0,83.6,ETH),3.0,5.9,31.0,27.8,0.0,0.0,1.0,1.8,0x183...06,14,False
17077,1.6,11,0,0/9.8,0.18181818181818182,0xc93...95  (3),260.0,29,0,22,Binance,2 (0.1 ETH),0 own 0%,6 own 4.9%,0 own 0%,0 own 0%,0.0,188.0,4318,10,100,-50.1008,0,9.8,INDIVIDUAL,3,2.0,0.1,ETH),0.0,0.0,6.0,4.9,0.0,0.0,0.0,0.0,0xBf5...D1,3,False
15059,2.7,64,38,0/0,0.9130434782608695,UNKNOWN (12),0.0,31,42,4,Binance,31 (8.9 ETH),0 own 0%,1 own 2.2%,4 own 17.8%,1 own 0%,2.0,113.0,5886,18,93,-30.6803,0,0,UNKNOWN,12,31.0,8.9,ETH),0.0,0.0,1.0,2.2,4.0,17.8,1.0,0.0,0xf18...12,28,False
13657,6.0,4,0,0/89.8,1.0,0x805...AF  (16),9844.0,5,0,1440,INDIVIDUAL,3 (0.0 ETH),0 own 0%,0 own 0%,0 own 0%,0 own 0%,0.0,94.0,3286,15,94,113.2041,0,89.8,INDIVIDUAL,16,3.0,0.0,ETH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0x97A...3a,34,True
874493,43.7,,0,2/10,0.6821192052980133,0x1DF...B9  (19),13673.0,20,0,2880,INDIVIDUAL,,,,,,1.0,188.0,7087,37,75,-32.2174,2,10,INDIVIDUAL,19,,,,,,,,,,,,0xd2f...E7,393,False
11179,1.3,86,52,0/9.2,0.18181818181818182,RENOUNCED (9),228.0,41,11,22,Binance,74 (26.6 ETH),0 own 0%,1 own 0.1%,3 own 1.3%,0 own 0%,1.0,158.0,3929,1,100,-30.003,0,9.2,RENOUNCED,9,74.0,26.6,ETH),0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,0xBf5...D1,4,False
3298,1.3,11,0,5/16.8,0.3,0xF6F...B1  (3),1067.0,50,1,51,Coinbase,13 (6.7 ETH),0 own 0%,5 own 8.1%,0 own 0%,0 own 0%,0.0,56.0,8402,20,100,103.6491,5,16.8,INDIVIDUAL,3,13.0,6.7,ETH),0.0,0.0,5.0,8.1,0.0,0.0,0.0,0.0,0x54e...5E,7,True
5655,0.9,91,70,0/6.9,0.18181818181818182,RENOUNCED (10),226.0,44,15,22,Binance,69 (27.3 ETH),0 own 0%,1 own 0.1%,3 own 1.3%,0 own 0%,2.0,188.0,3574,1,100,-32.978,0,6.9,RENOUNCED,10,69.0,27.3,ETH),0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,0xBf5...D1,4,False
14289,2.7,46,8,5/18.9,0.3,0xF6F...B1  (5),956.0,55,6,56,Coinbase,45 (25.2 ETH),0 own 0%,4 own 6.3%,0 own 0%,0 own 0%,0.0,188.0,3203,22,96,109.2614,5,18.9,INDIVIDUAL,5,45.0,25.2,ETH),0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,0xe2a...15,28,True
29902,3.9,69,15,5/16.3,0.3,0xF6F...B1  (5),1202.0,58,9,59,Coinbase,63 (36.9 ETH),0 own 0%,4 own 6.3%,0 own 0%,0 own 0%,0.0,94.0,9622,7,81,-30.6426,5,16.3,INDIVIDUAL,5,63.0,36.9,ETH),0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,theonlythingthatgivesordersinthisworldisballs.eth,21,False
41628,4.1,174,82,0/4.8,0.4461538461538462,RENOUNCED (11),7152.0,20,10,24,Binance,124 (80.1 ETH),3 own 5.9%,30 own 26.4%,0 own 0%,1 own 1.8%,1.0,226.0,3036,32,94,-30.7128,0,4.8,RENOUNCED,11,124.0,80.1,ETH),3.0,5.9,30.0,26.4,0.0,0.0,1.0,1.8,0x243...c4,82,False
1932,0.6,0,0,0/0,0.5492537313432836,RENOUNCED (6),115.0,30,0,23,INDIVIDUAL,,,,,,0.0,471.0,6485,10,78,165.9233,0,0,RENOUNCED,6,,,,,,,,,,,,0xdF4...75,23,True
175429,19.7,,68,2/10,0.6821192052980133,0x1DF...B9  (22),24316.0,23,3,2880,INDIVIDUAL,212 (264.0 ETH),1 own 0.3%,52 own 9.1%,16 own 9.9%,4 own 3.6%,1.0,942.0,8021,35,75,-33.1047,2,10,INDIVIDUAL,22,212.0,264.0,ETH),1.0,0.3,52.0,9.1,16.0,9.9,4.0,3.6,0xf24...58,4,False
3685,1.3,10,2,0/6.2,0.8,RENOUNCED (10),1407.0,20,8,1,Binance,10 (1.6 ETH),0 own 0%,4 own 8.7%,0 own 0%,0 own 0%,0.0,94.0,3030,23,97,-42.4737,0,6.2,RENOUNCED,10,10.0,1.6,ETH),0.0,0.0,4.0,8.7,0.0,0.0,0.0,0.0,0xe2a...15,30,False
3732,1.4,25,4,0/0,1.0,RENOUNCED (10),664.0,17,10,3,Binance,13 (2.1 ETH),0 own 0%,0 own 0%,2 own 8.2%,0 own 0%,0.0,66.0,6812,14,100,114.4199,0,0,RENOUNCED,10,13.0,2.1,ETH),0.0,0.0,0.0,0.0,2.0,8.2,0.0,0.0,0xb88...07,4,True
172201,10.0,,57,4/5.2,0.7857142857142857,RENOUNCED (39),11334.0,18726,18726,18720,Binance,221 (46.7 ETH),0 own 0%,0 own 0%,3 own 0%,0 own 0%,1.0,282.0,3034,17,100,-32.7959,4,5.2,RENOUNCED,39,221.0,46.7,ETH),0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0x8d9...98,6,False
125822,16.8,,278,2/3.7,0.6798679867986799,RENOUNCED (25),29996.0,15,54,2880,INDIVIDUAL,259 (464.5 ETH),1 own 0.3%,25 own 3.6%,4 own 1.3%,6 own 5.4%,1.0,943.0,20131,19,90,-33.9065,2,3.7,RENOUNCED,25,259.0,464.5,ETH),1.0,0.3,25.0,3.6,4.0,1.3,6.0,5.4,ucanfollowme.eth,195,False
8417,3.0,28,2,5/4.9,0.6923076923076923,RENOUNCED (10),943.0,11,7,2,Binance,26 (7.4 ETH),0 own 0%,10 own 15.8%,6 own 10%,0 own 0%,0.0,103.0,3624,63,75,-31.4467,5,4.9,RENOUNCED,10,26.0,7.4,ETH),0.0,0.0,10.0,15.8,6.0,10.0,0.0,0.0,0xD8D...Dc,12,False
51284,4.6,488,332,0/0,0.4461538461538462,RENOUNCED (14),9909.0,34,24,1,Binance,187 (70.4 ETH),1 own 0.4%,14 own 10%,6 own 1.8%,1 own 1.8%,1.0,188.0,7798,21,80,103.1361,0,0,RENOUNCED,14,187.0,70.4,ETH),1.0,0.4,14.0,10.0,6.0,1.8,1.0,1.8,0x0B1...66,44,True
14927,3.8,192,174,5/9.1,0.3333333333333333,RENOUNCED (35),12331.0,50,23,3,Binance,88 (47.7 ETH),1 own 0.1%,4 own 2.7%,2 own 0.6%,0 own 0%,15.0,299.0,7013,21,91,-32.7343,5,9.1,RENOUNCED,35,88.0,47.7,ETH),1.0,0.1,4.0,2.7,2.0,0.6,0.0,0.0,0x1d8...4f,105,False
16258,4.0,75,0,10/24.7,0.0,UNKNOWN (8),3710.0,32,9,1440,Binance,45 (21.3 ETH),0 own 0%,2 own 2%,11 own 10.3%,0 own 0%,0.0,162.0,3775,27,83,-31.0443,10,24.7,UNKNOWN,8,45.0,21.3,ETH),0.0,0.0,2.0,2.0,11.0,10.3,0.0,0.0,0x03B...9E,29,False
27762,3.4,541,387,0/0,0.4461538461538462,RENOUNCED (14),9911.0,48,38,1,Binance,174 (68.9 ETH),1 own 0.4%,9 own 5.1%,7 own 1.9%,1 own 1.8%,1.0,377.0,20217,19,90,100.2096,0,0,RENOUNCED,14,174.0,68.9,ETH),1.0,0.4,9.0,5.1,7.0,1.9,1.0,1.8,ucanfollowme.eth,195,True
