,mcap,liquidity,scams,worth,contract_age,pair_age,wallet,safu_score,buy_tax,owner_type_UNKNOWN,source_Coinbase,source_Kraken,source_SideShift,holds_qty,holds_amt,spoofed_qty,snipers_qty,whales_pct,printed
0,57285,17.5,0.6,775.0,1450,1,3508,69,4.0,0.0,0.0,0.0,0.0,21.0,516.3,1.0,2.0,17.8,False
1,25856,3.2,0.4461538461538462,2502.0,10,0,4241,94,0.0,0.0,0.0,0.0,0.0,70.0,37.9,6.0,46.0,0.0,False
2,34950,3.7,0.4461538461538462,7384.0,17,7,3447,100,0.0,0.0,0.0,0.0,0.0,118.0,83.6,3.0,31.0,1.8,False
3,17077,1.6,0.1818181818181818,260.0,29,0,4318,100,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,6.0,0.0,False
4,15059,2.7,0.9130434782608696,0.0,31,42,5886,93,0.0,1.0,0.0,0.0,0.0,31.0,8.9,0.0,1.0,0.0,False
5,13657,6.0,1.0,9844.0,5,0,3286,94,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True
6,11179,1.3,0.1818181818181818,228.0,41,11,3929,100,0.0,0.0,0.0,0.0,0.0,74.0,26.6,0.0,1.0,0.0,False
7,3298,1.3,0.3,1067.0,50,1,8402,100,5.0,0.0,1.0,0.0,0.0,13.0,6.7,0.0,5.0,0.0,True
8,5655,0.9,0.1818181818181818,226.0,44,15,3574,100,0.0,0.0,0.0,0.0,0.0,69.0,27.3,0.0,1.0,0.0,False
9,14289,2.7,0.3,956.0,55,6,3203,96,5.0,0.0,1.0,0.0,0.0,45.0,25.2,0.0,4.0,0.0,True
10,29902,3.9,0.3,1202.0,58,9,9622,81,5.0,0.0,1.0,0.0,0.0,63.0,36.9,0.0,4.0,0.0,False
11,41628,4.1,0.4461538461538462,7152.0,20,10,3036,94,0.0,0.0,0.0,0.0,0.0,124.0,80.1,3.0,30.0,1.8,False
12,3685,1.3,0.8,1407.0,20,8,3030,97,0.0,0.0,0.0,0.0,0.0,10.0,1.6,0.0,4.0,0.0,False
13,3732,1.4,1.0,664.0,17,10,6812,100,0.0,0.0,0.0,0.0,0.0,13.0,2.1,0.0,0.0,0.0,True
14,8417,3.0,0.6923076923076923,943.0,11,7,3624,75,5.0,0.0,0.0,0.0,0.0,26.0,7.4,0.0,10.0,0.0,False
15,51284,4.6,0.4461538461538462,9909.0,34,24,7798,80,0.0,0.0,0.0,0.0,0.0,187.0,70.4,1.0,14.0,1.8,True
16,14927,3.8,0.3333333333333333,12331.0,50,23,7013,91,5.0,0.0,0.0,0.0,0.0,88.0,47.7,1.0,4.0,0.0,False
17,16258,4.0,0.0,3710.0,32,9,3775,83,10.0,1.0,0.0,0.0,0.0,45.0,21.3,0.0,2.0,0.0,False
18,27762,3.4,0.4461538461538462,9911.0,48,38,20217,90,0.0,0.0,0.0,0.0,0.0,174.0,68.9,1.0,9.0,1.8,True
19,19446,4.3,0.8823529411764706,367.0,3,1,3385,84,0.0,0.0,0.0,0.0,0.0,29.0,280.0,0.0,20.0,5.3,False
20,21349,3.0,0.4461538461538462,9916.0,13,4,7839,79,0.0,0.0,0.0,0.0,0.0,138.0,148.5,1.0,7.0,2.3,False
21,856,0.3,0.0,1232.0,27,22,3499,85,0.0,0.0,0.0,0.0,0.0,46.0,74.3,0.0,1.0,0.0,True
22,1188,0.4,0.0,1232.0,27,22,5595,87,0.0,0.0,0.0,0.0,0.0,46.0,74.2,0.0,1.0,0.0,True
23,16979,1.5,0.0,1232.0,29,23,6430,75,0.0,0.0,0.0,0.0,0.0,180.0,134.3,0.0,1.0,0.5,False
24,48199,8.5,0.55,9033.0,26,14,23327,100,0.0,0.0,0.0,0.0,0.0,114.0,405.1,0.0,4.0,4.6,False
25,99101,8.6,0.7157360406091371,652.0,12,7,91514,100,0.0,0.0,0.0,0.0,0.0,125.0,207.3,0.0,19.0,2.3,False
26,89960,8.2,0.7157360406091371,652.0,21,15,3287,94,0.0,0.0,0.0,0.0,0.0,134.0,207.9,0.0,19.0,2.3,False
27,36702,6.0,0.3333333333333333,12788.0,56,30,3858,98,5.0,0.0,0.0,0.0,0.0,104.0,50.4,1.0,4.0,0.0,True
28,1554,0.6,0.0,856.0,26,23,4553,63,0.0,0.0,0.0,0.0,0.0,24.0,21.4,0.0,1.0,0.0,True
29,9320,2.2,0.6923076923076923,369.0,5765,0,6221,75,20.0,0.0,0.0,0.0,0.0,33.0,64.3,0.0,23.0,1.6,True
30,3996,1.0,0.0,855.0,47,44,55530,86,0.0,0.0,0.0,0.0,0.0,49.0,123.8,0.0,1.0,0.9,False
31,28425,3.9,0.3,524.0,41,50,71627,100,2.0,0.0,1.0,0.0,0.0,97.0,25.5,0.0,2.0,0.0,False
32,3088,1.0,0.3571428571428571,185.0,41,30,3202,95,10.0,0.0,0.0,0.0,0.0,17.0,1.5,1.0,0.0,0.0,False
33,38633,3.8,0.0,1444.0,39,6,3197,89,1.0,0.0,0.0,0.0,0.0,177.0,99.1,1.0,2.0,1.4,True
34,5593,1.4,0.3571428571428571,106.0,29,17,13744,72,0.0,0.0,0.0,0.0,0.0,27.0,6.2,1.0,0.0,0.0,False
35,55253,10.3,1.0,0.0,95052,95050,8500,100,0.0,0.0,0.0,0.0,0.0,514.0,266.8,7.0,0.0,1.3,False
36,16172,3.7,0.3278688524590163,5983.0,7223,7223,5552,75,2.0,0.0,0.0,0.0,0.0,104.0,112.4,0.0,2.0,1.9,True
37,12196,2.4,0.5674157303370787,2943.0,7,3,6421,100,0.0,0.0,0.0,0.0,0.0,38.0,46.7,0.0,6.0,0.0,False
