mcap,liquidity,buy,sell,scams,worth,contract_age,pair_age,funding_time,airdrops,amount,wallet,ape_score,safu_score,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holds_qty,holds_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,printed
57285,17.5,0.0,19.0,0.6,775.0,1450,1,17280,1.0,189.0,3508,33,69,4,3.6,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,516.3,1.0,3.8,2.0,4.7,2.0,5.8,6.0,17.8,16,False
25856,3.2,74.0,18.0,0.4461538461538462,2502.0,10,0,14,1.0,154.0,4241,51,94,0,4.4,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,37.9,6.0,11.9,46.0,43.6,1.0,0.2,0.0,0.0,36,False
34950,3.7,164.0,78.0,0.4461538461538462,7384.0,17,7,21,1.0,0.0,3447,30,100,0,5,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,83.6,3.0,5.9,31.0,27.8,0.0,0.0,1.0,1.8,14,False
17077,1.6,11.0,0.0,0.18181818181818182,260.0,29,0,22,0.0,188.0,4318,10,100,0,9.8,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,6.0,4.9,0.0,0.0,0.0,0.0,3,False
15059,2.7,64.0,38.0,0.9130434782608695,0.0,31,42,4,2.0,113.0,5886,18,93,0,0,12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.9,0.0,0.0,1.0,2.2,4.0,17.8,1.0,0.0,28,False
13657,6.0,4.0,0.0,1.0,9844.0,5,0,1440,0.0,94.0,3286,15,94,0,89.8,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,True
11179,1.3,86.0,52.0,0.18181818181818182,228.0,41,11,22,1.0,158.0,3929,1,100,0,9.2,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,26.6,0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,4,False
3298,1.3,11.0,0.0,0.3,1067.0,50,1,51,0.0,56.0,8402,20,100,5,16.8,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.7,0.0,0.0,5.0,8.1,0.0,0.0,0.0,0.0,7,True
5655,0.9,91.0,70.0,0.18181818181818182,226.0,44,15,22,2.0,188.0,3574,1,100,0,6.9,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,27.3,0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,4,False
14289,2.7,46.0,8.0,0.3,956.0,55,6,56,0.0,188.0,3203,22,96,5,18.9,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.2,0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,28,True
