mcap,liquidity,buy,sell,tax,scams,owner,worth,contract_age,pair_age,funding_time,source,holds,spoofed,snipers,fresh,whales,airdrops,amount,wallet,ape_score,safu_score,result
57285,17.5,(0) 0 - $0,(19) 19 - $0,4/3.6,18 out of 30,0x3c2...1c  (17),$775.00,1 days 10 hrs,1 mins,12 days ago,0x3bb...f8,21 (516.3 ETH),1 own 3.8%,2 own 4.7%,2 own 5.8%,6 own 17.8%,1.0,$189.00,"0x82b...8A ($3,508)",🟢 33%,69% out of 16,-44.4136
25856,3.2,(74) 63 - $9k,(18) 7 - $5.9k,0/4.4,203 out of 455,0x748...20  (7),"$2,502.00",10 mins,0 mins,14 mins ago,Binance,70 (37.9 ETH),6 own 11.9%,46 own 43.6%,1 own 0.2%,0 own 0%,1.0,$154.00,"0x310...60 ($4,241)",🟢🟢 51%,94% out of 36,-40.9256
34950,3.7,(164) 138 - $28.4k,(78) 32 - $23.2k,0/5,203 out of 455,RENOUNCED (10),"$7,384.00",17 mins,7 mins,21 mins ago,Binance,118 (83.6 ETH),3 own 5.9%,31 own 27.8%,0 own 0%,1 own 1.8%,1.0,$0.00,"0x183...06 ($3,447)",🟢 30%,100% out of 14,-30.6681
17077,1.6,(11) 11 - $1.1k,(0) 0 - $0,0/9.8,2 out of 11,0xc93...95  (3),$260.00,22 hrs 7 mins,0 mins,22 hrs ago,Binance,2 (0.1 ETH),0 own 0%,6 own 4.9%,0 own 0%,0 own 0%,,$188.00,"0xBf5...D1 ($4,318)",🟢 -10%,100% out of 3,-50.1008
15059,2.7,(64) 51 - $10.2k,(38) 28 - $7.1k,0/0,42 out of 46,UNKNOWN (12),$0.00,4 hrs 27 mins,2 hrs 40 mins,4 hrs ago,Binance,31 (8.9 ETH),0 own 0%,1 own 2.2%,4 own 17.8%,1 own 0%,2.0,$113.00,"0xf18...12 ($5,886)",🟢 18%,93% out of 28,-30.6803
13657,6.0,(4) 4 - $1.9k,(0) 0 - $0,0/89.8,59 out of 59,0x805...AF  (16),"$9,844.00",5 mins,0 mins,1 days ago,0xF49...02,3 (0.0 ETH),0 own 0%,0 own 0%,0 own 0%,0 own 0%,,$94.00,"0x97A...3a ($3,286)",🟢 15%,94% out of 34,113.2041
874493,43.7,,(0) 0 - $0,2/10,206 out of 302,0x1DF...B9  (19),"$13,673.00",20 mins,0 mins,2 days ago,0x021...7b,,,,,,1.0,$188.00,"0xd2f...E7 ($7,087)",🟢 37%,75% out of 393,-32.2174
11179,1.3,(86) 82 - $10.8k,(52) 24 - $10.2k,0/9.2,2 out of 11,RENOUNCED (9),$228.00,22 hrs 19 mins,11 mins,22 hrs ago,Binance,74 (26.6 ETH),0 own 0%,1 own 0.1%,3 own 1.3%,0 own 0%,1.0,$158.00,"0xBf5...D1 ($3,929)",🟢 -1%,100% out of 4,-30.003
3298,1.3,(11) 11 - $512.5,(0) 0 - $0,5/16.8,3 out of 10,0xF6F...B1  (3),"$1,067.00",50 mins,1 mins,51 mins ago,Coinbase,13 (6.7 ETH),0 own 0%,5 own 8.1%,0 own 0%,0 own 0%,,$56.00,"0x54e...5E ($8,402)",🟢 20%,100% out of 7,103.6491
5655,0.9,(91) 83 - $11.4k,(70) 32 - $11.5k,0/6.9,2 out of 11,RENOUNCED (10),$226.00,22 hrs 22 mins,15 mins,22 hrs ago,Binance,69 (27.3 ETH),0 own 0%,1 own 0.1%,3 own 1.3%,0 own 0%,2.0,$188.00,"0xBf5...D1 ($3,574)",🟢 -1%,100% out of 4,-32.978
