pair_age,init_market_cap,scams,funding_time,owner,source,status,verified,end_date,name,holders,tax,ticker,ape_score,spoofed,liquidity,lock,market_cap,previous,contract_age,sell,airdrops,result,ath,whales,red_flags,time_of_day,worth,snipers,buy,fresh,max_transmit,honeypot,safu_score,wallet,sticker,amount
1 mins,,18 out of 30,12 days ago,0x3c2...1c  (17),0x3bb...f8,Below 100K 🟥🟥🟥,0x2d019a83e5a83b3c7b222cd908b13c1c72707fd6,16:35:36:957,AllFather Buy! 🐋,21 (516.3 ETH),4/3.6,🪙 #ALLFATHER,🟢 33%,1 own 3.8%,17.5,Unknown Lock,57285,,1 days 10 hrs,(19) 19 - $0,1,-44.4136,,6 own 17.8%,,16:22:33,$775,2 own 4.7%,(0) 0 - $0,2 own 5.8%,,🟢 (false) - 16/16,69% out of 16,"0x82b...8A ($3,508)",,$189
0 mins,,203 out of 455,14 mins ago,0x748...20  (7),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,16:54:12:786,FKAZUKI ELEMENTALS Buy! 🐋,70 (37.9 ETH),0/4.4,🪙 #FKAZUKI,🟢🟢 51%,6 own 11.9%,3.2,Unknown Lock,25856,,10 mins,(18) 7 - $5.9k,1,-40.9256,,0 own 0%,,16:53:56,"$2,502",46 own 43.6%,(74) 63 - $9k,1 own 0.2%,2% | 0.2 eth,🟢 (false) - 63/63,94% out of 36,"0x310...60 ($4,241)",,$154
7 mins,"$25,856 | 1X",203 out of 455,21 mins ago,RENOUNCED (10),Binance,Below 50K 🟩🟨🟥,0x80071a9c2ac162619f700f08da8791c5b931f612,17:01:26:284,FKAZUKI ELEMENTALS Buy! 🐋,118 (83.6 ETH),0/5,🪙 #FKAZUKI,🟢 30%,3 own 5.9%,3.7,98% | 27 days | Unicrypt,34950,,17 mins,(78) 32 - $23.2k,1,-30.6681,,1 own 1.8%,,17:00:44,"$7,384",31 own 27.8%,(164) 138 - $28.4k,0 own 0%,,🟢 (false) - 113/113,100% out of 14,"0x183...06 ($3,447)",,$0
0 mins,,2 out of 11,22 hrs ago,0xc93...95  (3),Binance,Below 50K 🟩🟨🟥,0x5055490eb2a8e4c1d0e249a2fd7407fb535e8700,17:02:12:940,Lucky Cat Buy! 🐋,2 (0.1 ETH),0/9.8,🪙 #LUCKY,🟢 -10%,0 own 0%,1.6,Unknown Lock,17077,,22 hrs 7 mins,(0) 0 - $0,,-50.1008,,0 own 0%,,17:01:41,$260,6 own 4.9%,(11) 11 - $1.1k,0 own 0%,2% | 0.19 eth,🟢 (false) -,100% out of 3,"0xBf5...D1 ($4,318)",,$188
2 hrs 40 mins,,42 out of 46,4 hrs ago,UNKNOWN (12),Binance,Below 50K 🟩🟨🟥,0x806bd24c88dfe95da52659f858473efd59aa727e,17:06:49:258,TOAST Buy! 🐋🐋,31 (8.9 ETH),0/0,🪙 #TOAST,🟢 18%,0 own 0%,2.7,99% | 182 days | Unicrypt,15059,,4 hrs 27 mins,(38) 28 - $7.1k,2,-30.6803,,1 own 0%,,16:52:35,$0,1 own 2.2%,(64) 51 - $10.2k,4 own 17.8%,,🟢 (false) - 18/18,93% out of 28,"0xf18...12 ($5,886)",,$113
0 mins,,59 out of 59,1 days ago,0x805...AF  (16),0xF49...02,Below 50K 🟩🟨🟥,0xd3495a8c1256e6d2afa9db8969400449332bdd78,17:09:24:928,QUAKE Buy! 🐋,3 (0.0 ETH),0/89.8,🪙 #QUAKE,🟢 15%,0 own 0%,6,Unknown Lock,13657,(1) POPO,5 mins,(0) 0 - $0,,113.2041,"$9,353",0 own 0%,,17:04:44,"$9,844",0 own 0%,(4) 4 - $1.9k,0 own 0%,,🟢 (false) - 2/2,94% out of 34,"0x97A...3a ($3,286)",,$94
0 mins,,206 out of 302,2 days ago,0x1DF...B9  (19),0x021...7b,,0xf2ab7eb71e1016bbd4a6fe399f6c841adff4f66e,17:14:38:116,QUAKE Buy! 🐋🐋,,2/10,,🟢 37%,,43.7,Unknown Lock,874493,,20 mins,(0) 0 - $0,1,-32.2174,,,,17:14:27,"$13,673",,,,,🟢 (false) -,75% out of 393,"0xd2f...E7 ($7,087)",🪙 #QUAKE,$188
11 mins,"$17,077 | 0X",2 out of 11,22 hrs ago,RENOUNCED (9),Binance,Below 50K 🟩🟨🟥,0x5055490eb2a8e4c1d0e249a2fd7407fb535e8700,17:14:50:794,Lucky Cat Buy! 🐋,74 (26.6 ETH),0/9.2,🪙 #LUCKY,🟢 -1%,0 own 0%,1.3,99% | BURNT,11179,,22 hrs 19 mins,(52) 24 - $10.2k,1,-30.0030,,0 own 0%,,17:13:17,$228,1 own 0.1%,(86) 82 - $10.8k,3 own 1.3%,8% | 0.74 eth,🟢 (false) - 59/59,100% out of 4,"0xBf5...D1 ($3,929)",,$158
1 mins,,3 out of 10,51 mins ago,0xF6F...B1  (3),Coinbase,Below 10K 🟩🟩🟩,0xefa2bac90c2aeb228e89e4061d0b0cf831531bee,17:28:25:018,CHARIZARD Buy! 🐋🐋,13 (6.7 ETH),5/16.8,🪙 #CHAR,🟢 20%,0 own 0%,1.3,Unknown Lock,3298,,50 mins,(0) 0 - $0,,103.6491,,0 own 0%,,17:26:13,"$1,067",5 own 8.1%,(11) 11 - $512.5,0 own 0%,2% | 0.04 eth,🟢 (false) - 11/11,100% out of 7,"0x54e...5E ($8,402)",,$56
15 mins,"$7,536 | 0X",2 out of 11,22 hrs ago,RENOUNCED (10),Binance,Below 10K 🟩🟩🟩,0x5055490eb2a8e4c1d0e249a2fd7407fb535e8700,17:33:38:473,Lucky Cat Buy! 🐋,69 (27.3 ETH),0/6.9,🪙 #LUCKY,🟢 -1%,0 own 0%,0.9,99% | BURNT,5655,,22 hrs 22 mins,(70) 32 - $11.5k,2,-32.9780,,0 own 0%,,17:16:33,$226,1 own 0.1%,(91) 83 - $11.4k,3 own 1.3%,8% | 0.32 eth,🟢 (false) - 55/55,100% out of 4,"0xBf5...D1 ($3,574)",,$188
