,pair_age,init_market_cap,scams,funding_time,ape_score,liquidity,market_cap,contract_age,sell,airdrops,time_of_day,worth,buy,max_transmit,honeypot,safu_score,wallet,amount,buy_tax,sell_tax,owner_quant,owner_type_INDIVIDUAL,owner_type_RENOUNCED,owner_type_UNKNOWN,source_01121994.eth,source_Binance,source_Bitget,source_Bybit,source_Coinbase,source_FixedFloat,source_Gate.io,source_INDIVIDUAL,source_Kraken,source_Kucoin,source_Mexc,source_SideShift,source_cemedeul.eth,source_tsunamitreasury.eth,holders_qty,holders_amt,spoofed_qty,spoofed_pct,snipers_qty,snipers_pct,fresh_qty,fresh_pct,whales_qty,whales_pct,safu_score_qty,status_100K,status_10K,status_50K,status_Above,printed
0,1,,0.6,17280,33,17.5,57285,1450,19.0,1.0,58953.00000000001,775,0.0,,16,69,3508,189,4,3.6,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,516.3,1.0,3.8,2.0,4.7,2.0,5.8,6.0,17.8,16,1.0,0.0,0.0,0.0,False
1,0,,0.4461538461538462,14,51,3.2,25856,10,18.0,1.0,60836.00000000001,2502,74.0,0.2,63,94,4241,154,0,4.4,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,37.9,6.0,11.9,46.0,43.6,1.0,0.2,0.0,0.0,36,0.0,0.0,1.0,0.0,False
2,7,25856.0,0.4461538461538462,21,30,3.7,34950,17,78.0,1.0,61244.00000000001,7384,164.0,,113,100,3447,0,0,5,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,83.6,3.0,5.9,31.0,27.8,0.0,0.0,1.0,1.8,14,0.0,0.0,1.0,0.0,False
3,0,,0.18181818181818182,22,10,1.6,17077,29,0.0,0.0,61301.00000000001,260,11.0,0.19,,100,4318,188,0,9.8,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,0.0,6.0,4.9,0.0,0.0,0.0,0.0,3,0.0,0.0,1.0,0.0,False
4,42,,0.9130434782608695,4,18,2.7,15059,31,38.0,2.0,60755.00000000001,0,64.0,,18,93,5886,113,0,0,12,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.9,0.0,0.0,1.0,2.2,4.0,17.8,1.0,0.0,28,0.0,0.0,1.0,0.0,False
5,0,,1.0,1440,15,6.0,13657,5,0.0,0.0,61484.00000000001,9844,4.0,,2,94,3286,94,0,89.8,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,1.0,0.0,True
6,0,,0.6821192052980133,2880,37,43.7,874493,20,0.0,1.0,62067.00000000001,13673,,,,75,7087,188,2,10,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,393,0.0,0.0,0.0,1.0,False
7,11,17077.0,0.18181818181818182,22,1,1.3,11179,41,52.0,1.0,61997.00000000001,228,86.0,0.74,59,100,3929,158,0,9.2,9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,26.6,0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,4,0.0,0.0,1.0,0.0,False
8,1,,0.3,51,20,1.3,3298,50,0.0,0.0,62773.00000000001,1067,11.0,0.04,11,100,8402,56,5,16.8,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.7,0.0,0.0,5.0,8.1,0.0,0.0,0.0,0.0,7,0.0,1.0,0.0,0.0,True
9,15,7536.0,0.18181818181818182,22,1,0.9,5655,44,70.0,2.0,62193.00000000001,226,91.0,0.32,55,100,3574,188,0,6.9,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,27.3,0.0,0.0,1.0,0.1,3.0,1.3,0.0,0.0,4,0.0,1.0,0.0,0.0,False
10,6,3298.0,0.3,56,22,2.7,14289,55,8.0,0.0,63043.00000000001,956,46.0,0.15,41,96,3203,188,5,18.9,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.2,0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,28,0.0,0.0,1.0,0.0,True
11,9,3298.0,0.3,59,7,3.9,29902,58,15.0,0.0,63229.00000000001,1202,69.0,0.35,60,81,9622,94,5,16.3,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,36.9,0.0,0.0,4.0,6.3,0.0,0.0,0.0,0.0,21,0.0,0.0,1.0,0.0,False
12,10,25856.0,0.4461538461538462,24,32,4.1,41628,20,82.0,1.0,61439.00000000001,7152,174.0,,119,94,3036,226,0,4.8,11,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,80.1,3.0,5.9,30.0,26.4,0.0,0.0,1.0,1.8,82,0.0,0.0,1.0,0.0,False
13,0,,0.5492537313432836,23,10,0.6,1932,30,0.0,0.0,64700.00000000001,115,0.0,,,78,6485,471,0,0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,23,0.0,1.0,0.0,0.0,True
14,3,874493.0,0.6821192052980133,2880,35,19.7,175429,23,68.0,1.0,62277.00000000001,24316,,2.66,159,75,8021,942,2,10,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,264.0,1.0,0.3,52.0,9.1,16.0,9.9,4.0,3.6,4,0.0,0.0,0.0,1.0,False
15,8,,0.8,1,23,1.3,3685,20,2.0,0.0,65264.00000000001,1407,10.0,0.23,8,97,3030,94,0,6.2,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.6,0.0,0.0,4.0,8.7,0.0,0.0,0.0,0.0,30,0.0,1.0,0.0,0.0,False
16,10,,1.0,3,14,1.4,3732,17,4.0,0.0,65550.0,664,25.0,,13,100,6812,66,0,0,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.1,0.0,0.0,0.0,0.0,2.0,8.2,0.0,0.0,4,0.0,1.0,0.0,0.0,True
17,18726,12378.0,0.7857142857142857,18720,17,10.0,172201,18726,57.0,1.0,61754.00000000001,11334,,,238,100,3034,282,4,5.2,39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,46.7,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6,0.0,0.0,0.0,1.0,False
18,54,159216.0,0.6798679867986799,2880,19,16.8,125822,15,278.0,1.0,65315.00000000001,29996,,1.75,227,90,20131,943,2,3.7,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,464.5,1.0,0.3,25.0,3.6,4.0,1.3,6.0,5.4,195,0.0,0.0,0.0,1.0,False
19,7,,0.6923076923076923,2,63,3.0,8417,11,2.0,0.0,62599.00000000001,943,28.0,,25,75,3624,103,5,4.9,10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.4,0.0,0.0,10.0,15.8,6.0,10.0,0.0,0.0,12,0.0,1.0,0.0,0.0,False
20,24,25856.0,0.4461538461538462,1,21,4.6,51284,34,332.0,1.0,65781.0,9909,488.0,,165,80,7798,188,0,0,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,70.4,1.0,0.4,14.0,10.0,6.0,1.8,1.0,1.8,44,1.0,0.0,0.0,0.0,True
